"by15","block","campbell_panel_temp_C","teros_MP_kPa","teros_soil_temp_1_C","teros_soil_temp_2_C","date","watermark_MP_kPa","teros_soil_temp_mean_C"
2019-10-23 16:30:00,"D",24.22,-7.93,21.27,NA,2019-10-23,-2.07,21.27
2019-10-23 16:30:00,"M",23.47,-8.4,23.03,22.05,2019-10-23,-1.706,22.54
2019-10-23 16:45:00,"D",23.9,-8.5,22.8,NA,2019-10-23,-2.279,22.8
2019-10-23 16:45:00,"M",22.95,-8.5,23.3,22.35,2019-10-23,-1.733,22.825
2019-10-23 17:00:00,"D",23.61,-8.5,22.8,NA,2019-10-23,-2.23,22.8
2019-10-23 17:00:00,"M",22.73,-8.5,23.3,22.4,2019-10-23,-1.742,22.85
2019-10-23 17:15:00,"D",23.38,-8.5,22.7,NA,2019-10-23,-2.227,22.7
2019-10-23 17:15:00,"M",22.53,-8.5,23.3,22.4,2019-10-23,-1.756,22.85
2019-10-23 17:30:00,"D",23.18,-8.5,22.7,NA,2019-10-23,-2.164,22.7
2019-10-23 17:30:00,"M",22.47,-8.5,23.3,22.4,2019-10-23,-1.753,22.85
2019-10-23 17:45:00,"D",23.07,-8.5,22.66,NA,2019-10-23,-2.194,22.66
2019-10-23 17:45:00,"M",22.36,-8.5,23.24,22.38,2019-10-23,-1.758,22.81
2019-10-23 18:00:00,"D",22.98,-8.5,22.6,NA,2019-10-23,-2.19,22.6
2019-10-23 18:00:00,"M",22.33,-8.5,23.2,22.3,2019-10-23,-1.748,22.75
2019-10-23 18:15:00,"D",22.95,-8.5,22.6,NA,2019-10-23,-2.179,22.6
2019-10-23 18:15:00,"M",22.33,-8.53,23.21,22.3,2019-10-23,-1.736,22.755
2019-10-23 18:30:00,"D",22.9,-8.5,22.52,NA,2019-10-23,-2.137,22.52
2019-10-23 18:30:00,"M",22.22,-8.5,23.46,22.3,2019-10-23,-1.7,22.88
2019-10-23 18:45:00,"D",22.78,-8.5,22.5,NA,2019-10-23,-2.131,22.5
2019-10-23 18:45:00,"M",21.86,-8.5,23.53,22.3,2019-10-23,-1.695,22.915
2019-10-23 19:00:00,"D",22.64,-8.5,22.49,NA,2019-10-23,-2.147,22.49
2019-10-23 19:00:00,"M",21.84,-8.5,23.5,22.3,2019-10-23,-1.703,22.9
2019-10-23 19:15:00,"D",22.53,-8.5,22.4,NA,2019-10-23,-2.114,22.4
2019-10-23 19:15:00,"M",21.7,-8.5,23.41,22.3,2019-10-23,-1.701,22.855
2019-10-23 19:30:00,"D",22.45,-8.5,22.4,NA,2019-10-23,-2.116,22.4
2019-10-23 19:30:00,"M",21.59,-8.5,23.35,22.3,2019-10-23,-1.689,22.825
2019-10-23 19:45:00,"D",22.28,-8.5,22.36,NA,2019-10-23,-2.124,22.36
2019-10-23 19:45:00,"M",21.07,-8.5,23.27,22.3,2019-10-23,-1.696,22.785
2019-10-23 20:00:00,"D",22,-8.5,22.3,NA,2019-10-23,-1.998,22.3
2019-10-23 20:00:00,"M",20.91,-8.5,23.2,22.23,2019-10-23,-1.709,22.715
2019-10-23 20:15:00,"D",21.97,-8.5,22.27,NA,2019-10-23,-2.092,22.27
2019-10-23 20:15:00,"M",21.15,-8.5,23.1,22.2,2019-10-23,-1.707,22.65
2019-10-23 20:30:00,"D",21.95,-8.5,22.2,NA,2019-10-23,-2.125,22.2
2019-10-23 20:30:00,"M",21.18,-8.5,23.02,22.19,2019-10-23,-1.716,22.605
2019-10-23 20:45:00,"D",21.86,-8.5,22.2,NA,2019-10-23,-2.113,22.2
2019-10-23 20:45:00,"M",20.91,-8.5,22.96,22.1,2019-10-23,-1.698,22.53
2019-10-23 21:00:00,"D",21.64,-8.5,22.1,NA,2019-10-23,-2.102,22.1
2019-10-23 21:00:00,"M",20.5,-8.5,22.9,22.1,2019-10-23,-1.71,22.5
2019-10-23 21:15:00,"D",21.42,-8.5,22.09,NA,2019-10-23,-2.127,22.09
2019-10-23 21:15:00,"M",20.21,-8.5,22.81,22.07,2019-10-23,-1.731,22.44
2019-10-23 21:30:00,"D",21.23,-8.5,22,NA,2019-10-23,-2.124,22
2019-10-23 21:30:00,"M",19.94,-8.5,22.73,22,2019-10-23,-1.72,22.365
2019-10-23 21:45:00,"D",21.04,-8.5,21.95,NA,2019-10-23,-2.109,21.95
2019-10-23 21:45:00,"M",19.68,-8.5,22.64,21.93,2019-10-23,-1.725,22.285
2019-10-23 22:00:00,"D",20.83,-8.5,21.89,NA,2019-10-23,-2.012,21.89
2019-10-23 22:00:00,"M",19.39,-8.5,22.53,21.88,2019-10-23,-1.725,22.205
2019-10-23 22:15:00,"D",20.64,-8.5,21.8,NA,2019-10-23,-2.083,21.8
2019-10-23 22:15:00,"M",19.15,-8.5,22.42,21.8,2019-10-23,-1.729,22.11
2019-10-23 22:30:00,"D",20.5,-8.5,21.72,NA,2019-10-23,-2.141,21.72
2019-10-23 22:30:00,"M",19,-8.5,22.3,21.7,2019-10-23,-1.737,22
2019-10-23 22:45:00,"D",20.34,-8.5,21.64,NA,2019-10-23,-2.147,21.64
2019-10-23 22:45:00,"M",18.79,-8.5,22.17,21.62,2019-10-23,-1.745,21.895
2019-10-23 23:00:00,"D",20.21,-8.5,21.55,NA,2019-10-23,-2.138,21.55
2019-10-23 23:00:00,"M",18.64,-8.5,22.05,21.53,2019-10-23,-1.742,21.79
2019-10-23 23:15:00,"D",20.08,-8.5,21.47,NA,2019-10-23,-2.129,21.47
2019-10-23 23:15:00,"M",18.53,-8.5,21.93,21.44,2019-10-23,-1.733,21.685
2019-10-23 23:30:00,"D",20,-8.5,21.38,NA,2019-10-23,-2.139,21.38
2019-10-23 23:30:00,"M",18.43,-8.5,21.8,21.35,2019-10-23,-1.75,21.575
2019-10-23 23:45:00,"D",19.92,-8.5,21.29,NA,2019-10-23,-2.148,21.29
2019-10-23 23:45:00,"M",18.33,-8.5,21.67,21.26,2019-10-23,-1.765,21.465
2019-10-24 00:00:00,"D",19.84,-8.5,21.2,NA,2019-10-24,-2.122,21.2
2019-10-24 00:00:00,"M",18.28,-8.5,21.55,21.17,2019-10-24,-1.759,21.36
2019-10-24 00:15:00,"D",19.76,-8.5,21.1,NA,2019-10-24,-2.119,21.1
2019-10-24 00:15:00,"M",18.2,-8.5,21.43,21.09,2019-10-24,-1.769,21.26
2019-10-24 00:30:00,"D",19.68,-8.5,21.03,NA,2019-10-24,-2.162,21.03
2019-10-24 00:30:00,"M",18.12,-8.5,21.32,21,2019-10-24,-1.776,21.16
2019-10-24 00:45:00,"D",19.63,-8.5,20.96,NA,2019-10-24,-2.164,20.96
2019-10-24 00:45:00,"M",18.05,-8.5,21.19,20.91,2019-10-24,-1.771,21.05
2019-10-24 01:00:00,"D",19.55,-8.5,20.87,NA,2019-10-24,-2.17,20.87
2019-10-24 01:00:00,"M",17.97,-8.5,21.08,20.83,2019-10-24,-1.784,20.955
2019-10-24 01:15:00,"D",19.47,-8.5,20.79,NA,2019-10-24,-2.173,20.79
2019-10-24 01:15:00,"M",17.87,-8.5,20.97,20.75,2019-10-24,-1.786,20.86
2019-10-24 01:30:00,"D",19.39,-8.5,20.7,NA,2019-10-24,-2.182,20.7
2019-10-24 01:30:00,"M",17.77,-8.5,20.86,20.67,2019-10-24,-1.793,20.765
2019-10-24 01:45:00,"D",19.31,-8.5,20.62,NA,2019-10-24,-2.17,20.62
2019-10-24 01:45:00,"M",17.62,-8.5,20.75,20.59,2019-10-24,-1.81,20.67
2019-10-24 02:00:00,"D",19.21,-8.5,20.54,NA,2019-10-24,-2.188,20.54
2019-10-24 02:00:00,"M",17.56,-8.5,20.65,20.5,2019-10-24,-1.798,20.575
2019-10-24 02:15:00,"D",19.15,-8.5,20.45,NA,2019-10-24,-2.154,20.45
2019-10-24 02:15:00,"M",17.51,-8.5,20.55,20.41,2019-10-24,-1.819,20.48
2019-10-24 02:30:00,"D",19.1,-8.5,20.37,NA,2019-10-24,-2.184,20.37
2019-10-24 02:30:00,"M",17.69,-8.5,20.45,20.34,2019-10-24,-1.829,20.395
2019-10-24 02:45:00,"D",19.23,-8.5,20.3,NA,2019-10-24,-2.144,20.3
2019-10-24 02:45:00,"M",18.2,-8.5,20.36,20.28,2019-10-24,-1.827,20.32
2019-10-24 03:00:00,"D",19.44,-8.5,20.21,NA,2019-10-24,-2.17,20.21
2019-10-24 03:00:00,"M",18.66,-8.5,20.28,20.2,2019-10-24,-1.827,20.24
2019-10-24 03:15:00,"D",19.68,-8.5,20.19,NA,2019-10-24,-2.19,20.19
2019-10-24 03:15:00,"M",19.21,-8.5,20.2,20.2,2019-10-24,-1.851,20.2
2019-10-24 03:30:00,"D",20.02,-8.5,20.1,NA,2019-10-24,-2.181,20.1
2019-10-24 03:30:00,"M",19.78,-8.5,20.16,20.13,2019-10-24,-1.85,20.145
2019-10-24 03:45:00,"D",20.37,-8.5,20.1,NA,2019-10-24,-2.19,20.1
2019-10-24 03:45:00,"M",20.31,-8.5,20.1,20.1,2019-10-24,-1.855,20.1
2019-10-24 04:00:00,"D",20.69,-8.5,20.1,NA,2019-10-24,-2.092,20.1
2019-10-24 04:00:00,"M",20.58,-8.5,20.1,20.1,2019-10-24,-1.853,20.1
2019-10-24 04:15:00,"D",20.91,-8.5,20.1,NA,2019-10-24,-2.161,20.1
2019-10-24 04:15:00,"M",20.83,-8.5,20.1,20.18,2019-10-24,-1.858,20.14
2019-10-24 04:30:00,"D",21.04,-8.5,20.1,NA,2019-10-24,-2.159,20.1
2019-10-24 04:30:00,"M",20.93,-8.5,20.1,20.2,2019-10-24,-1.801,20.15
2019-10-24 04:45:00,"D",21.15,-8.5,20.1,NA,2019-10-24,-2.149,20.1
2019-10-24 04:45:00,"M",21.12,-8.5,20.14,20.2,2019-10-24,-1.838,20.17
2019-10-24 05:00:00,"D",21.26,-8.5,20.1,NA,2019-10-24,-2.121,20.1
2019-10-24 05:00:00,"M",21.21,-8.5,20.2,20.2,2019-10-24,-1.873,20.2
2019-10-24 05:15:00,"D",21.31,-8.5,20.2,NA,2019-10-24,-2.153,20.2
2019-10-24 05:15:00,"M",21.29,-8.5,20.2,20.3,2019-10-24,-1.887,20.25
2019-10-24 05:30:00,"D",21.34,-8.5,20.2,NA,2019-10-24,-2.129,20.2
2019-10-24 05:30:00,"M",21.34,-8.5,20.24,20.3,2019-10-24,-1.877,20.27
2019-10-24 05:45:00,"D",21.4,-8.5,20.2,NA,2019-10-24,-2.126,20.2
2019-10-24 05:45:00,"M",21.4,-8.5,20.3,20.3,2019-10-24,-1.869,20.3
2019-10-24 06:00:00,"D",21.45,-8.5,20.2,NA,2019-10-24,-2.104,20.2
2019-10-24 06:00:00,"M",21.51,-8.5,20.3,20.38,2019-10-24,-1.867,20.34
2019-10-24 06:15:00,"D",21.53,-8.5,20.28,NA,2019-10-24,-2.107,20.28
2019-10-24 06:15:00,"M",21.72,-8.5,20.39,20.4,2019-10-24,-1.866,20.395
2019-10-24 06:30:00,"D",21.56,-8.5,20.3,NA,2019-10-24,-2.087,20.3
2019-10-24 06:30:00,"M",21.75,-8.5,20.4,20.41,2019-10-24,-1.863,20.405
2019-10-24 06:45:00,"D",21.62,-8.5,20.3,NA,2019-10-24,-2.098,20.3
2019-10-24 06:45:00,"M",21.86,-8.5,20.48,20.5,2019-10-24,-1.861,20.49
2019-10-24 07:00:00,"D",21.67,-8.5,20.37,NA,2019-10-24,-2.09,20.37
2019-10-24 07:00:00,"M",21.92,-8.5,20.5,20.5,2019-10-24,-1.866,20.5
2019-10-24 07:15:00,"D",21.78,-8.5,20.4,NA,2019-10-24,-2.081,20.4
2019-10-24 07:15:00,"M",22.14,-8.5,20.57,20.54,2019-10-24,-1.857,20.555
2019-10-24 07:30:00,"D",21.89,-8.5,20.42,NA,2019-10-24,-2.076,20.42
2019-10-24 07:30:00,"M",22.36,-8.5,20.6,20.6,2019-10-24,-1.86,20.6
2019-10-24 07:45:00,"D",22.06,-8.5,20.5,NA,2019-10-24,-2.076,20.5
2019-10-24 07:45:00,"M",22.75,-8.5,20.7,20.66,2019-10-24,-1.873,20.68
2019-10-24 08:00:00,"D",22.33,-8.5,20.54,NA,2019-10-24,-2.078,20.54
2019-10-24 08:00:00,"M",23.21,-8.5,20.77,20.73,2019-10-24,-1.866,20.75
2019-10-24 08:15:00,"D",22.67,-8.5,20.62,NA,2019-10-24,-2.102,20.62
2019-10-24 08:15:00,"M",24.01,-8.5,20.87,20.84,2019-10-24,-1.875,20.855
2019-10-24 08:30:00,"D",23.04,-8.5,20.73,NA,2019-10-24,-2.089,20.73
2019-10-24 08:30:00,"M",24.25,-8.5,21.01,20.97,2019-10-24,-1.869,20.99
2019-10-24 08:45:00,"D",23.44,-8.5,20.87,NA,2019-10-24,-2.098,20.87
2019-10-24 08:45:00,"M",25.19,-8.5,21.19,21.13,2019-10-24,-1.889,21.16
2019-10-24 09:00:00,"D",24.04,-8.5,21.05,NA,2019-10-24,-2.089,21.05
2019-10-24 09:00:00,"M",26.16,-8.5,21.45,21.29,2019-10-24,-1.839,21.37
2019-10-24 09:15:00,"D",24.63,-8.5,21.29,NA,2019-10-24,-2.102,21.29
2019-10-24 09:15:00,"M",27.21,-8.5,21.79,21.5,2019-10-24,-1.782,21.645
2019-10-24 09:30:00,"D",25.22,-8.5,21.59,NA,2019-10-24,-2.141,21.59
2019-10-24 09:30:00,"M",27.98,-8.5,22.17,21.82,2019-10-24,-1.863,21.995
2019-10-24 09:45:00,"D",25.73,-8.5,21.95,NA,2019-10-24,-2.159,21.95
2019-10-24 09:45:00,"M",28.69,-8.5,22.6,22.2,2019-10-24,-1.868,22.4
2019-10-24 10:00:00,"D",26.13,-8.5,22.37,NA,2019-10-24,-2.191,22.37
2019-10-24 10:00:00,"M",29.08,-8.5,23.07,22.54,2019-10-24,-1.853,22.805
2019-10-24 10:15:00,"D",26.53,-8.5,22.81,NA,2019-10-24,-2.208,22.81
2019-10-24 10:15:00,"M",29.62,-8.5,23.67,22.85,2019-10-24,-1.826,23.26
2019-10-24 10:30:00,"D",26.87,-8.5,23.24,NA,2019-10-24,-2.246,23.24
2019-10-24 10:30:00,"M",29.89,-8.5,24.3,23.19,2019-10-24,-1.817,23.745
2019-10-24 10:45:00,"D",27.21,-8.5,23.68,NA,2019-10-24,-2.244,23.68
2019-10-24 10:45:00,"M",30.6,-8.5,24.9,23.64,2019-10-24,-1.829,24.27
2019-10-24 11:00:00,"D",27.56,-8.5,24.07,NA,2019-10-24,-2.21,24.07
2019-10-24 11:00:00,"M",31.23,-5.728,NA,NA,2019-10-24,-1.252,NA
2019-10-24 11:15:00,"D",27.94,-8.5,24.45,NA,2019-10-24,-2.262,24.45
2019-10-24 11:15:00,"M",31.69,-8.5,26.19,24.58,2019-10-24,-1.825,25.385
2019-10-24 11:30:00,"D",29.52,-8.5,24.82,NA,2019-10-24,-2.202,24.82
2019-10-24 11:30:00,"M",32.12,-8.5,26.86,24.97,2019-10-24,-1.816,25.915
2019-10-24 11:45:00,"D",30.88,-8.5,25.16,NA,2019-10-24,-2.217,25.16
2019-10-24 11:45:00,"M",31.9,-8.5,27.4,25.3,2019-10-24,-1.782,26.35
2019-10-24 12:00:00,"D",31.55,-8.5,25.48,NA,2019-10-24,-2.289,25.48
2019-10-24 12:00:00,"M",31.72,-8.43,27.86,25.66,2019-10-24,-1.78,26.76
2019-10-24 12:15:00,"D",31.51,-8.5,25.81,NA,2019-10-24,-2.314,25.81
2019-10-24 12:15:00,"M",31.69,-8.4,28.31,26,2019-10-24,-1.771,27.155
2019-10-24 12:30:00,"D",30.81,-8.5,26.19,NA,2019-10-24,-2.286,26.19
2019-10-24 12:30:00,"M",31.47,-8.4,28.6,26.37,2019-10-24,-1.771,27.485
2019-10-24 12:45:00,"D",30.12,-8.5,26.59,NA,2019-10-24,-2.27,26.59
2019-10-24 12:45:00,"M",31.55,-8.4,28.83,26.64,2019-10-24,-1.718,27.735
2019-10-24 13:00:00,"D",29.55,-8.43,27.01,NA,2019-10-24,-2.318,27.01
2019-10-24 13:00:00,"M",31.76,-8.4,29.05,26.88,2019-10-24,-1.681,27.965
2019-10-24 13:15:00,"D",29.12,-8.4,27.42,NA,2019-10-24,-2.368,27.42
2019-10-24 13:15:00,"M",31.72,-8.4,29.28,27.1,2019-10-24,-1.621,28.19
2019-10-24 13:30:00,"D",28.92,-8.4,27.82,NA,2019-10-24,-2.349,27.82
2019-10-24 13:30:00,"M",31.58,-8.4,29.55,27.31,2019-10-24,-1.56,28.43
2019-10-24 13:45:00,"D",28.76,-8.4,28.3,NA,2019-10-24,-2.272,28.3
2019-10-24 13:45:00,"M",31.47,-8.4,29.83,27.48,2019-10-24,-1.514,28.655
2019-10-24 14:00:00,"D",28.66,-8.4,28.7,NA,2019-10-24,-2.291,28.7
2019-10-24 14:00:00,"M",31.3,-8.4,30.06,27.64,2019-10-24,-1.467,28.85
2019-10-24 14:15:00,"D",28.59,-8.4,29.1,NA,2019-10-24,-2.393,29.1
2019-10-24 14:15:00,"M",31.19,-8.4,30.27,27.76,2019-10-24,-1.411,29.015
2019-10-24 14:30:00,"D",28.53,-8.4,29.38,NA,2019-10-24,-2.448,29.38
2019-10-24 14:30:00,"M",31.05,-8.4,30.47,27.87,2019-10-24,-1.379,29.17
2019-10-24 14:45:00,"D",28.46,-8.4,29.5,NA,2019-10-24,-2.466,29.5
2019-10-24 14:45:00,"M",30.95,-8.4,30.66,28,2019-10-24,-1.357,29.33
2019-10-24 15:00:00,"D",28.46,-8.41,29.54,NA,2019-10-24,-2.426,29.54
2019-10-24 15:00:00,"M",30.81,-8.4,30.84,28.19,2019-10-24,-1.349,29.515
2019-10-24 15:15:00,"D",28.43,-8.49,29.57,NA,2019-10-24,-2.418,29.57
2019-10-24 15:15:00,"M",30.74,-8.4,31.02,28.28,2019-10-24,-1.324,29.65
2019-10-24 15:30:00,"D",28.46,-8.49,29.5,NA,2019-10-24,-1.949,29.5
2019-10-24 15:30:00,"M",30.67,-8.4,31.11,28.37,2019-10-24,-1.31,29.74
2019-10-24 15:45:00,"D",28.4,-8.49,29.5,NA,2019-10-24,-2.312,29.5
2019-10-24 15:45:00,"M",30.36,-8.4,31.2,28.45,2019-10-24,-1.316,29.825
2019-10-24 16:00:00,"D",28.27,-8.5,29.5,NA,2019-10-24,-2.347,29.5
2019-10-24 16:00:00,"M",30.02,-8.4,31.2,28.5,2019-10-24,-1.297,29.85
2019-10-24 16:15:00,"D",28.07,-8.5,29.5,NA,2019-10-24,-2.309,29.5
2019-10-24 16:15:00,"M",29.62,-8.4,31.18,28.6,2019-10-24,-1.312,29.89
2019-10-24 16:30:00,"D",27.78,-8.5,29.44,NA,2019-10-24,-2.266,29.44
2019-10-24 16:30:00,"M",29.15,-8.4,31.1,28.6,2019-10-24,-1.323,29.85
2019-10-24 16:45:00,"D",27.34,-8.5,29.36,NA,2019-10-24,-2.301,29.36
2019-10-24 16:45:00,"M",28.56,-8.4,31.03,28.6,2019-10-24,-1.346,29.815
2019-10-24 17:00:00,"D",26.87,-8.5,29.24,NA,2019-10-24,-2.16,29.24
2019-10-24 17:00:00,"M",28.01,-8.4,30.86,28.6,2019-10-24,-1.372,29.73
2019-10-24 17:15:00,"D",26.31,-8.5,29.08,NA,2019-10-24,-2.181,29.08
2019-10-24 17:15:00,"M",27.4,-8.4,30.72,28.54,2019-10-24,-1.399,29.63
2019-10-24 17:30:00,"D",25.85,-8.5,28.9,NA,2019-10-24,-2.141,28.9
2019-10-24 17:30:00,"M",26.87,-8.4,30.53,28.45,2019-10-24,-1.431,29.49
2019-10-24 17:45:00,"D",25.49,-8.5,28.69,NA,2019-10-24,-2.106,28.69
2019-10-24 17:45:00,"M",26.44,-8.4,30.32,28.34,2019-10-24,-1.466,29.33
2019-10-24 18:00:00,"D",25.31,-8.5,28.49,NA,2019-10-24,-2.138,28.49
2019-10-24 18:00:00,"M",26.16,-8.4,30.11,28.2,2019-10-24,-1.494,29.155
2019-10-24 18:15:00,"D",25.16,-8.45,28.28,NA,2019-10-24,-2.114,28.28
2019-10-24 18:15:00,"M",25.95,-8.43,29.89,27.99,2019-10-24,-1.49,28.94
2019-10-24 18:30:00,"D",25.04,-8.46,28.02,NA,2019-10-24,-2.075,28.02
2019-10-24 18:30:00,"M",25.76,-8.42,29.25,27.86,2019-10-24,-1.465,28.555
2019-10-24 18:45:00,"D",24.84,-8.47,27.78,NA,2019-10-24,-2.068,27.78
2019-10-24 18:45:00,"M",25.46,-8.48,28.82,27.74,2019-10-24,-1.466,28.28
2019-10-24 19:00:00,"D",24.6,-8.49,27.57,NA,2019-10-24,-2.059,27.57
2019-10-24 19:00:00,"M",25.19,-8.5,28.57,27.61,2019-10-24,-1.5,28.09
2019-10-24 19:15:00,"D",24.45,-8.5,27.37,NA,2019-10-24,-2.04,27.37
2019-10-24 19:15:00,"M",24.98,-8.5,28.36,27.45,2019-10-24,-1.507,27.905
2019-10-24 19:30:00,"D",24.33,-8.5,27.19,NA,2019-10-24,-2.044,27.19
2019-10-24 19:30:00,"M",24.81,-8.5,28.14,27.3,2019-10-24,-1.512,27.72
2019-10-24 19:45:00,"D",24.22,-8.5,27.01,NA,2019-10-24,-2.051,27.01
2019-10-24 19:45:00,"M",24.63,-8.5,27.93,27.15,2019-10-24,-1.522,27.54
2019-10-24 20:00:00,"D",24.07,-8.5,26.84,NA,2019-10-24,-2.021,26.84
2019-10-24 20:00:00,"M",24.42,-8.5,27.75,27.02,2019-10-24,-1.537,27.385
2019-10-24 20:15:00,"D",23.78,-8.5,26.67,NA,2019-10-24,-1.979,26.67
2019-10-24 20:15:00,"M",24.1,-8.5,27.6,26.87,2019-10-24,-1.554,27.235
2019-10-24 20:30:00,"D",23.5,-8.5,26.51,NA,2019-10-24,-2.012,26.51
2019-10-24 20:30:00,"M",23.78,-8.5,27.42,26.74,2019-10-24,-1.576,27.08
2019-10-24 20:45:00,"D",23.18,-8.5,26.35,NA,2019-10-24,-1.748,26.35
2019-10-24 20:45:00,"M",23.47,-8.5,27.22,26.57,2019-10-24,-1.592,26.895
2019-10-24 21:00:00,"D",22.87,-8.5,26.09,NA,2019-10-24,-1.96,26.09
2019-10-24 21:00:00,"M",23.12,-8.5,27.01,26.4,2019-10-24,-1.614,26.705
2019-10-24 21:15:00,"D",22.59,-8.5,25.9,NA,2019-10-24,-2.076,25.9
2019-10-24 21:15:00,"M",22.81,-8.5,26.79,26.19,2019-10-24,-1.624,26.49
2019-10-24 21:30:00,"D",22.28,-8.5,25.71,NA,2019-10-24,-2.073,25.71
2019-10-24 21:30:00,"M",22.47,-8.5,26.54,25.95,2019-10-24,-1.637,26.245
2019-10-24 21:45:00,"D",21.97,-8.5,25.5,NA,2019-10-24,-2.051,25.5
2019-10-24 21:45:00,"M",22.11,-8.5,26.27,25.74,2019-10-24,-1.655,26.005
2019-10-24 22:00:00,"D",21.7,-8.5,25.3,NA,2019-10-24,-2.028,25.3
2019-10-24 22:00:00,"M",21.81,-8.5,25.95,25.53,2019-10-24,-1.669,25.74
2019-10-24 22:15:00,"D",21.48,-8.5,25.1,NA,2019-10-24,-1.997,25.1
2019-10-24 22:15:00,"M",21.53,-8.5,25.68,25.32,2019-10-24,-1.69,25.5
2019-10-24 22:30:00,"D",21.23,-8.5,24.9,NA,2019-10-24,-2.077,24.9
2019-10-24 22:30:00,"M",21.23,-8.5,25.41,25.13,2019-10-24,-1.716,25.27
2019-10-24 22:45:00,"D",20.99,-8.5,24.69,NA,2019-10-24,-2.114,24.69
2019-10-24 22:45:00,"M",20.93,-8.5,25.16,24.95,2019-10-24,-1.738,25.055
2019-10-24 23:00:00,"D",20.83,-8.5,24.47,NA,2019-10-24,-2.098,24.47
2019-10-24 23:00:00,"M",20.74,-8.5,24.91,24.74,2019-10-24,-1.768,24.825
2019-10-24 23:15:00,"D",20.61,-8.5,24.27,NA,2019-10-24,-2.062,24.27
2019-10-24 23:15:00,"M",20.48,-8.5,24.67,24.55,2019-10-24,-1.777,24.61
2019-10-24 23:30:00,"D",20.45,-8.5,24.07,NA,2019-10-24,-2.099,24.07
2019-10-24 23:30:00,"M",20.26,-8.5,24.42,24.35,2019-10-24,-1.804,24.385
2019-10-24 23:45:00,"D",20.34,-8.5,23.86,NA,2019-10-24,-2.095,23.86
2019-10-24 23:45:00,"M",20.1,-8.5,24.19,24.17,2019-10-24,-1.824,24.18
2019-10-25 00:00:00,"D",20.21,-8.5,23.62,NA,2019-10-25,-1.98,23.62
2019-10-25 00:00:00,"M",19.92,-8.5,23.97,23.98,2019-10-25,-1.844,23.975
2019-10-25 00:15:00,"D",20.1,-8.5,23.39,NA,2019-10-25,-2.06,23.39
2019-10-25 00:15:00,"M",19.78,-8.5,23.74,23.81,2019-10-25,-1.87,23.775
2019-10-25 00:30:00,"D",20.02,-8.5,23.19,NA,2019-10-25,-2.04,23.19
2019-10-25 00:30:00,"M",19.63,-8.5,23.46,23.59,2019-10-25,-1.801,23.525
2019-10-25 00:45:00,"D",19.94,-8.5,23,NA,2019-10-25,-2.1,23
2019-10-25 00:45:00,"M",19.52,-8.5,23.25,23.4,2019-10-25,-1.768,23.325
2019-10-25 01:00:00,"D",19.89,-8.5,22.81,NA,2019-10-25,-2.093,22.81
2019-10-25 01:00:00,"M",19.42,-8.5,23.05,23.23,2019-10-25,-1.907,23.14
2019-10-25 01:15:00,"D",19.84,-8.5,22.63,NA,2019-10-25,-2.108,22.63
2019-10-25 01:15:00,"M",19.34,-8.5,22.86,23.06,2019-10-25,-1.937,22.96
2019-10-25 01:30:00,"D",19.76,-8.5,22.45,NA,2019-10-25,-2.102,22.45
2019-10-25 01:30:00,"M",19.23,-8.5,22.69,22.91,2019-10-25,-1.947,22.8
2019-10-25 01:45:00,"D",19.68,-8.5,22.26,NA,2019-10-25,-2.101,22.26
2019-10-25 01:45:00,"M",19.15,-8.5,22.51,22.76,2019-10-25,-1.953,22.635
2019-10-25 02:00:00,"D",19.68,-8.5,22.09,NA,2019-10-25,-2.1,22.09
2019-10-25 02:00:00,"M",19.1,-8.5,22.34,22.63,2019-10-25,-1.972,22.485
2019-10-25 02:15:00,"D",19.63,-8.5,21.93,NA,2019-10-25,-2.102,21.93
2019-10-25 02:15:00,"M",19.05,-8.5,22.17,22.47,2019-10-25,-1.979,22.32
2019-10-25 02:30:00,"D",19.63,-8.5,21.77,NA,2019-10-25,-2.06,21.77
2019-10-25 02:30:00,"M",19.02,-8.5,22.02,22.35,2019-10-25,-1.995,22.185
2019-10-25 02:45:00,"D",19.76,-8.5,21.64,NA,2019-10-25,-2.088,21.64
2019-10-25 02:45:00,"M",19.15,-8.5,21.87,22.23,2019-10-25,-2.012,22.05
2019-10-25 03:00:00,"D",19.97,-8.5,21.5,NA,2019-10-25,-2.117,21.5
2019-10-25 03:00:00,"M",19.36,-8.5,21.74,22.12,2019-10-25,-2.017,21.93
2019-10-25 03:15:00,"D",20.24,-8.5,21.37,NA,2019-10-25,-2.017,21.37
2019-10-25 03:15:00,"M",19.65,-8.5,21.62,22.02,2019-10-25,-2.028,21.82
2019-10-25 03:30:00,"D",20.53,-8.5,21.28,NA,2019-10-25,-2.06,21.28
2019-10-25 03:30:00,"M",20,-8.5,21.5,21.94,2019-10-25,-2.039,21.72
2019-10-25 03:45:00,"D",20.83,-8.5,21.2,NA,2019-10-25,-2.03,21.2
2019-10-25 03:45:00,"M",20.31,-8.5,21.41,21.9,2019-10-25,-2.044,21.655
2019-10-25 04:00:00,"D",21.1,-8.5,21.14,NA,2019-10-25,-2.071,21.14
2019-10-25 04:00:00,"M",20.58,-8.5,21.36,21.83,2019-10-25,-2.05,21.595
2019-10-25 04:15:00,"D",21.31,-8.5,21.1,NA,2019-10-25,-2.085,21.1
