millis,stamp,datetime,diff01x,diff23x,diff01y,diff23y,Temp1C,Temp2C,BattVolt,BoostVolt
288000,1565265601," ""2019/8/8 12:0:1""",609.81,613.5,614.44,616.56,21.69,21.62,12.84,23.8
288999,1565265602," ""2019/8/8 12:0:2""",603.88,607.5,608.06,610.25,21.62,21.56,13.22,23.8
289999,1565265603," ""2019/8/8 12:0:3""",600.5,604.19,604.31,606.75,21.62,21.62,13.28,23.8
291000,1565265604," ""2019/8/8 12:0:4""",598.13,602.06,601.69,604.44,21.69,21.62,13.31,23.8
291999,1565265605," ""2019/8/8 12:0:5""",596.38,600.44,599.81,602.63,21.69,21.62,13.22,23.8
293000,1565265606," ""2019/8/8 12:0:6""",595.06,599.25,598.38,601.31,21.69,21.62,13.22,23.8
293999,1565265607," ""2019/8/8 12:0:7""",593.94,598.31,597.13,600.25,21.69,21.62,13.34,23.8
295000,1565265608," ""2019/8/8 12:0:8""",593.13,597.5,596.19,599.38,21.69,21.62,13.23,23.8
295999,1565265609," ""2019/8/8 12:0:9""",592.38,596.88,595.38,598.63,21.69,21.62,13.19,23.8
296999,1565265610," ""2019/8/8 12:0:10""",591.75,596.38,594.63,597.94,21.69,21.62,13.23,23.8
297999,1565265611," ""2019/8/8 12:0:11""",591.25,595.88,594,597.44,21.69,21.62,13.3,23.8
298999,1565265612," ""2019/8/8 12:0:12""",590.81,595.44,593.5,596.94,21.69,21.62,13.34,23.8
300000,1565265613," ""2019/8/8 12:0:13""",590.38,595.13,593.06,596.5,21.69,21.62,13.2,23.8
300999,1565265614," ""2019/8/8 12:0:14""",590.06,594.81,592.63,596.13,21.69,21.62,13.16,23.8
302000,1565265615," ""2019/8/8 12:0:15""",589.75,594.5,592.31,595.81,21.69,21.62,13.23,23.8
302998,1565265616," ""2019/8/8 12:0:16""",589.44,594.19,592,595.5,21.69,21.62,13.28,23.8
304000,1565265617," ""2019/8/8 12:0:17""",589.19,594,591.69,595.19,21.69,21.62,13.33,23.8
305000,1565265618," ""2019/8/8 12:0:18""",588.94,593.81,591.44,594.94,21.69,21.62,13.16,23.8
305999,1565265619," ""2019/8/8 12:0:19""",588.75,593.56,591.19,594.69,21.69,21.69,13.22,23.8
307000,1565265620," ""2019/8/8 12:0:20""",588.56,593.38,591,594.5,21.69,21.69,13.31,23.8
307999,1565265621," ""2019/8/8 12:0:21""",588.38,593.19,590.81,594.31,21.69,21.69,13.14,23.8
587999,1565265901," ""2019/8/8 12:5:1""",609.88,613.56,614.5,616.56,21.69,21.62,13.31,23.8
588999,1565265902," ""2019/8/8 12:5:2""",603.94,607.5,608,610.25,21.69,21.62,13.37,23.8
590000,1565265903," ""2019/8/8 12:5:3""",600.5,604.19,604.25,606.75,21.69,21.62,13.39,23.8
590999,1565265904," ""2019/8/8 12:5:4""",598.13,602,601.69,604.38,21.69,21.62,13.25,23.8
591998,1565265905," ""2019/8/8 12:5:5""",596.38,600.44,599.81,602.63,21.69,21.62,13.39,23.8
593000,1565265906," ""2019/8/8 12:5:6""",595.06,599.25,598.31,601.31,21.69,21.62,13.22,23.8
593999,1565265907," ""2019/8/8 12:5:7""",594,598.31,597.06,600.25,21.69,21.62,13.22,23.8
595000,1565265908," ""2019/8/8 12:5:8""",593.06,597.5,596.06,599.38,21.69,21.62,13.27,23.8
595999,1565265909," ""2019/8/8 12:5:9""",592.38,596.88,595.25,598.63,21.69,21.62,13.34,23.8
597000,1565265910," ""2019/8/8 12:5:10""",591.75,596.38,594.56,598,21.69,21.62,13.22,23.8
597999,1565265911," ""2019/8/8 12:5:11""",591.25,595.88,594,597.38,21.69,21.62,13.34,23.8
599000,1565265912," ""2019/8/8 12:5:12""",590.81,595.5,593.44,596.88,21.69,21.62,13.33,23.8
599999,1565265913," ""2019/8/8 12:5:13""",590.44,595.13,593,596.5,21.75,21.69,13.14,23.8
600999,1565265914," ""2019/8/8 12:5:14""",590.06,594.81,592.63,596.06,21.75,21.69,13.16,23.8
602000,1565265915," ""2019/8/8 12:5:15""",589.75,594.5,592.25,595.75,21.75,21.69,13.23,23.8
602999,1565265916," ""2019/8/8 12:5:16""",589.5,594.19,591.94,595.5,21.75,21.69,13.16,23.8
604000,1565265917," ""2019/8/8 12:5:17""",589.25,594,591.69,595.19,21.75,21.69,13.19,23.8
604999,1565265918," ""2019/8/8 12:5:18""",589,593.75,591.44,594.94,21.75,21.69,13.19,23.8
606000,1565265919," ""2019/8/8 12:5:19""",588.75,593.56,591.19,594.69,21.75,21.69,13.31,23.8
606999,1565265920," ""2019/8/8 12:5:20""",588.56,593.38,591,594.5,21.75,21.69,13.3,23.8
608000,1565265921," ""2019/8/8 12:5:21""",588.38,593.19,590.81,594.31,21.75,21.69,13.31,23.8
887998,1565266201," ""2019/8/8 12:10:1""",609.88,613.56,614.5,616.56,21.75,21.69,13.22,23.8
888999,1565266202," ""2019/8/8 12:10:2""",603.94,607.5,608,610.25,21.69,21.62,13.36,23.8
890000,1565266203," ""2019/8/8 12:10:3""",600.5,604.19,604.25,606.75,21.69,21.62,13.36,23.8
890999,1565266204," ""2019/8/8 12:10:4""",598.19,602.06,601.69,604.38,21.69,21.62,13.16,23.8
892000,1565266205," ""2019/8/8 12:10:5""",596.38,600.5,599.81,602.63,21.69,21.62,13.34,23.8
892999,1565266206," ""2019/8/8 12:10:6""",595.06,599.25,598.31,601.38,21.75,21.62,13.19,23.8
894000,1565266207," ""2019/8/8 12:10:7""",594,598.31,597.13,600.25,21.75,21.69,13.36,23.8
894999,1565266208," ""2019/8/8 12:10:8""",593.13,597.5,596.13,599.38,21.75,21.69,13.16,23.8
896000,1565266209," ""2019/8/8 12:10:9""",592.38,596.94,595.25,598.63,21.75,21.69,13.16,23.8
896998,1565266210," ""2019/8/8 12:10:10""",591.81,596.38,594.56,598,21.75,21.69,13.3,23.8
897999,1565266211," ""2019/8/8 12:10:11""",591.25,595.94,594,597.38,21.75,21.69,13.36,23.8
899000,1565266212," ""2019/8/8 12:10:12""",590.81,595.5,593.44,596.94,21.75,21.69,13.34,23.8
899999,1565266213," ""2019/8/8 12:10:13""",590.44,595.13,593,596.5,21.75,21.69,13.25,23.8
901000,1565266214," ""2019/8/8 12:10:14""",590.06,594.81,592.63,596.13,21.75,21.69,13.22,23.8
901998,1565266215," ""2019/8/8 12:10:15""",589.75,594.56,592.31,595.75,21.75,21.69,13.37,23.8
903000,1565266216," ""2019/8/8 12:10:16""",589.5,594.25,591.94,595.5,21.75,21.69,13.3,23.8
903999,1565266217," ""2019/8/8 12:10:17""",589.19,594,591.69,595.19,21.75,21.69,13.33,23.8
904999,1565266218," ""2019/8/8 12:10:18""",589,593.81,591.44,594.94,21.75,21.69,13.13,23.8
906000,1565266219," ""2019/8/8 12:10:19""",588.81,593.56,591.25,594.69,21.75,21.69,13.2,23.8
906998,1565266220," ""2019/8/8 12:10:20""",588.56,593.44,591,594.5,21.75,21.69,13.25,23.8
908000,1565266221," ""2019/8/8 12:10:21""",588.44,593.19,590.81,594.31,21.75,21.69,13.16,23.8
1187999,1565266501," ""2019/8/8 12:15:1""",609.94,613.63,614.5,616.56,21.75,21.69,13.27,23.8
1189000,1565266502," ""2019/8/8 12:15:2""",603.94,607.5,608,610.25,21.69,21.62,13.37,23.8
1189999,1565266503," ""2019/8/8 12:15:3""",600.56,604.19,604.31,606.75,21.69,21.62,13.2,23.8
1190999,1565266504," ""2019/8/8 12:15:4""",598.19,602.06,601.75,604.44,21.75,21.69,13.25,23.8
1191999,1565266505," ""2019/8/8 12:15:5""",596.44,600.5,599.81,602.69,21.75,21.62,13.22,23.8
1192999,1565266506," ""2019/8/8 12:15:6""",595.13,599.31,598.31,601.31,21.75,21.69,13.37,23.8
1194000,1565266507," ""2019/8/8 12:15:7""",594,598.38,597.13,600.25,21.75,21.69,13.19,23.8
1194999,1565266508," ""2019/8/8 12:15:8""",593.13,597.56,596.13,599.38,21.75,21.69,13.17,23.8
1195999,1565266509," ""2019/8/8 12:15:9""",592.44,596.94,595.31,598.63,21.75,21.69,13.33,23.8
1196999,1565266510," ""2019/8/8 12:15:10""",591.88,596.44,594.63,598,21.75,21.69,13.17,23.8
1198000,1565266511," ""2019/8/8 12:15:11""",591.31,595.94,594.06,597.44,21.75,21.69,13.16,23.8
1198999,1565266512," ""2019/8/8 12:15:12""",590.88,595.56,593.5,596.94,21.75,21.69,13.31,23.8
1200000,1565266513," ""2019/8/8 12:15:13""",590.44,595.19,593.06,596.56,21.75,21.69,13.34,23.8
1200998,1565266514," ""2019/8/8 12:15:14""",590.13,594.88,592.69,596.19,21.75,21.69,13.22,23.8
1201999,1565266515," ""2019/8/8 12:15:15""",589.81,594.56,592.31,595.81,21.75,21.69,13.31,23.8
1203000,1565266516," ""2019/8/8 12:15:16""",589.5,594.31,592,595.5,21.75,21.69,13.23,23.8
1203999,1565266517," ""2019/8/8 12:15:17""",589.25,594.06,591.75,595.19,21.75,21.69,13.17,23.8
1205000,1565266518," ""2019/8/8 12:15:18""",589.06,593.88,591.5,594.94,21.75,21.69,13.13,23.8
1205999,1565266519," ""2019/8/8 12:15:19""",588.81,593.63,591.25,594.75,21.75,21.69,13.22,23.8
1207000,1565266520," ""2019/8/8 12:15:20""",588.63,593.44,591.06,594.56,21.75,21.69,13.19,23.8
1207999,1565266521," ""2019/8/8 12:15:21""",588.44,593.25,590.81,594.31,21.81,21.69,13.27,23.8
1488000,1565266801," ""2019/8/8 12:20:1""",609.94,613.63,614.56,616.63,21.81,21.69,13.27,23.8
1489000,1565266802," ""2019/8/8 12:20:2""",603.94,607.56,608.06,610.25,21.69,21.62,13.25,23.8
1489999,1565266803," ""2019/8/8 12:20:3""",600.56,604.31,604.31,606.75,21.69,21.62,13.22,23.8
1491000,1565266804," ""2019/8/8 12:20:4""",598.19,602.06,601.75,604.44,21.75,21.62,13.36,23.8
1491999,1565266805," ""2019/8/8 12:20:5""",596.5,600.5,599.88,602.69,21.69,21.69,13.36,23.8
1493000,1565266806," ""2019/8/8 12:20:6""",595.13,599.38,598.38,601.38,21.75,21.69,13.37,23.8
1493999,1565266807," ""2019/8/8 12:20:7""",594.06,598.38,597.13,600.25,21.75,21.69,13.16,23.8
1494999,1565266808," ""2019/8/8 12:20:8""",593.19,597.63,596.19,599.38,21.75,21.69,13.19,23.8
1495999,1565266809," ""2019/8/8 12:20:9""",592.44,597,595.31,598.63,21.75,21.69,13.33,23.8
1496999,1565266810," ""2019/8/8 12:20:10""",591.88,596.44,594.63,598,21.75,21.69,13.19,23.8
1498000,1565266811," ""2019/8/8 12:20:11""",591.31,596,594.06,597.44,21.75,21.69,13.23,23.8
1498999,1565266812," ""2019/8/8 12:20:12""",590.88,595.56,593.56,597,21.75,21.69,13.33,23.8
1499999,1565266813," ""2019/8/8 12:20:13""",590.5,595.19,593.13,596.56,21.75,21.69,13.23,23.8
1500999,1565266814," ""2019/8/8 12:20:14""",590.13,594.88,592.69,596.19,21.75,21.69,13.31,23.8
1502000,1565266815," ""2019/8/8 12:20:15""",589.81,594.56,592.38,595.81,21.75,21.69,13.27,23.8
1502999,1565266816," ""2019/8/8 12:20:16""",589.56,594.31,592,595.56,21.75,21.69,13.14,23.8
1504000,1565266817," ""2019/8/8 12:20:17""",589.31,594.13,591.75,595.25,21.75,21.69,13.13,23.8
1505000,1565266818," ""2019/8/8 12:20:18""",589.06,593.88,591.5,595,21.75,21.69,13.14,23.8
1505999,1565266819," ""2019/8/8 12:20:19""",588.88,593.69,591.25,594.75,21.75,21.69,13.36,23.8
1507000,1565266820," ""2019/8/8 12:20:20""",588.69,593.44,591.06,594.5,21.75,21.69,13.16,23.8
1507999,1565266821," ""2019/8/8 12:20:21""",588.5,593.31,590.88,594.31,21.75,21.69,13.33,23.8
1787999,1565267101," ""2019/8/8 12:25:1""",609.94,613.69,614.56,616.63,21.75,21.69,13.23,23.8
1788999,1565267102," ""2019/8/8 12:25:2""",604,607.63,608.06,610.25,21.75,21.62,13.39,23.8
1790000,1565267103," ""2019/8/8 12:25:3""",600.63,604.31,604.38,606.81,21.75,21.69,13.39,23.8
1790999,1565267104," ""2019/8/8 12:25:4""",598.25,602.13,601.81,604.44,21.75,21.69,13.37,23.8
1792000,1565267105," ""2019/8/8 12:25:5""",596.5,600.56,599.88,602.75,21.75,21.69,13.37,23.8
1793000,1565267106," ""2019/8/8 12:25:6""",595.19,599.38,598.38,601.38,21.75,21.69,13.2,23.8
1793999,1565267107," ""2019/8/8 12:25:7""",594.06,598.44,597.19,600.31,21.75,21.69,13.31,23.8
1795000,1565267108," ""2019/8/8 12:25:8""",593.19,597.69,596.19,599.44,21.75,21.69,13.33,23.8
1795999,1565267109," ""2019/8/8 12:25:9""",592.5,597,595.38,598.69,21.75,21.69,13.27,23.8
1797000,1565267110," ""2019/8/8 12:25:10""",591.88,596.5,594.69,598,21.75,21.69,13.33,23.8
1797999,1565267111," ""2019/8/8 12:25:11""",591.38,596.06,594.06,597.5,21.75,21.69,13.3,23.8
1799000,1565267112," ""2019/8/8 12:25:12""",590.94,595.63,593.56,597,21.75,21.69,13.37,23.8
1799999,1565267113," ""2019/8/8 12:25:13""",590.5,595.25,593.13,596.56,21.81,21.69,13.23,23.8
1800999,1565267114," ""2019/8/8 12:25:14""",590.19,594.94,592.75,596.19,21.81,21.69,13.37,23.8
1802000,1565267115," ""2019/8/8 12:25:15""",589.88,594.63,592.38,595.88,21.81,21.69,13.36,23.8
1802999,1565267116," ""2019/8/8 12:25:16""",589.63,594.38,592.06,595.5,21.81,21.69,13.16,23.8
1804000,1565267117," ""2019/8/8 12:25:17""",589.38,594.13,591.75,595.25,21.81,21.75,13.16,23.8
1804999,1565267118," ""2019/8/8 12:25:18""",589.13,593.94,591.56,595.06,21.81,21.69,13.31,23.8
1806000,1565267119," ""2019/8/8 12:25:19""",588.94,593.75,591.31,594.81,21.81,21.75,13.3,23.8
1806999,1565267120," ""2019/8/8 12:25:20""",588.69,593.56,591.06,594.56,21.81,21.75,13.2,23.8
1808000,1565267121," ""2019/8/8 12:25:21""",588.56,593.38,590.94,594.31,21.81,21.75,13.22,23.8
2087999,1565267401," ""2019/8/8 12:30:1""",610,613.69,614.63,616.63,21.81,21.69,13.2,23.8
2088999,1565267402," ""2019/8/8 12:30:2""",604.06,607.69,608.19,610.31,21.75,21.69,13.4,23.8
2090000,1565267403," ""2019/8/8 12:30:3""",600.63,604.31,604.44,606.88,21.81,21.69,13.36,23.8
2090999,1565267404," ""2019/8/8 12:30:4""",598.31,602.19,601.88,604.5,21.81,21.69,13.3,23.8
2092000,1565267405," ""2019/8/8 12:30:5""",596.56,600.63,600,602.75,21.81,21.75,13.34,23.8
2092999,1565267406," ""2019/8/8 12:30:6""",595.19,599.44,598.5,601.44,21.81,21.75,13.37,23.8
2094000,1565267407," ""2019/8/8 12:30:7""",594.13,598.5,597.31,600.38,21.81,21.75,13.17,23.8
2094999,1565267408," ""2019/8/8 12:30:8""",593.25,597.75,596.31,599.5,21.81,21.75,13.3,23.8
2096000,1565267409," ""2019/8/8 12:30:9""",592.56,597.06,595.44,598.75,21.81,21.75,13.34,23.8
2097000,1565267410," ""2019/8/8 12:30:10""",591.94,596.56,594.75,598.06,21.81,21.75,13.22,23.8
2097999,1565267411," ""2019/8/8 12:30:11""",591.44,596.06,594.19,597.56,21.81,21.75,13.25,23.8
2099000,1565267412," ""2019/8/8 12:30:12""",590.94,595.69,593.63,597.06,21.81,21.75,13.34,23.8
2099999,1565267413," ""2019/8/8 12:30:13""",590.56,595.31,593.19,596.63,21.81,21.75,13.14,23.8
2101000,1565267414," ""2019/8/8 12:30:14""",590.19,595,592.81,596.25,21.81,21.75,13.28,23.8
2101999,1565267415," ""2019/8/8 12:30:15""",589.94,594.69,592.44,595.94,21.81,21.75,13.25,23.8
2103000,1565267416," ""2019/8/8 12:30:16""",589.63,594.44,592.13,595.56,21.81,21.75,13.13,23.8
2103999,1565267417," ""2019/8/8 12:30:17""",589.38,594.19,591.88,595.31,21.81,21.75,13.27,23.8
2104999,1565267418," ""2019/8/8 12:30:18""",589.19,593.94,591.63,595.06,21.81,21.75,13.16,23.8
2106000,1565267419," ""2019/8/8 12:30:19""",588.94,593.75,591.38,594.81,21.87,21.75,13.2,23.8
2106999,1565267420," ""2019/8/8 12:30:20""",588.75,593.56,591.19,594.56,21.81,21.75,13.19,23.8
2108000,1565267421," ""2019/8/8 12:30:21""",588.56,593.38,590.94,594.38,21.87,21.75,13.13,23.8
2389000,1565267701," ""2019/8/8 12:35:1""",610,613.69,614.63,616.69,21.87,21.75,13.22,23.8
2389999,1565267702," ""2019/8/8 12:35:2""",604.13,607.69,608.25,610.38,21.81,21.75,13.25,23.8
2391000,1565267703," ""2019/8/8 12:35:3""",600.69,604.38,604.5,606.94,21.87,21.75,13.31,23.8
2391999,1565267704," ""2019/8/8 12:35:4""",598.31,602.19,601.94,604.5,21.87,21.81,13.36,23.8
2392999,1565267705," ""2019/8/8 12:35:5""",596.63,600.69,600.06,602.81,21.87,21.75,13.19,23.8
2394000,1565267706," ""2019/8/8 12:35:6""",595.25,599.44,598.56,601.5,21.87,21.81,13.36,23.8
2394999,1565267707," ""2019/8/8 12:35:7""",594.19,598.5,597.31,600.38,21.87,21.81,13.19,23.8
2396000,1565267708," ""2019/8/8 12:35:8""",593.31,597.75,596.31,599.5,21.87,21.81,13.31,23.8
2396999,1565267709," ""2019/8/8 12:35:9""",592.56,597.13,595.5,598.75,21.87,21.81,13.17,23.8
2398000,1565267710," ""2019/8/8 12:35:10""",592,596.56,594.81,598.13,21.87,21.81,13.36,23.8
2398998,1565267711," ""2019/8/8 12:35:11""",591.5,596.06,594.19,597.56,21.87,21.81,13.17,23.8
2400000,1565267712," ""2019/8/8 12:35:12""",591,595.69,593.69,597.06,21.87,21.81,13.2,23.8
2401000,1565267713," ""2019/8/8 12:35:13""",590.63,595.31,593.25,596.69,21.87,21.81,13.31,23.8
2401999,1565267714," ""2019/8/8 12:35:14""",590.25,595,592.88,596.31,21.87,21.81,13.37,23.8
2403000,1565267715," ""2019/8/8 12:35:15""",590,594.69,592.5,595.94,21.87,21.81,13.19,23.8
2403999,1565267716," ""2019/8/8 12:35:16""",589.69,594.44,592.19,595.63,21.87,21.81,13.22,23.8
2405000,1565267717," ""2019/8/8 12:35:17""",589.44,594.19,591.94,595.38,21.87,21.81,13.19,23.8
2405999,1565267718," ""2019/8/8 12:35:18""",589.19,594,591.63,595.13,21.94,21.81,13.2,23.8
2407000,1565267719," ""2019/8/8 12:35:19""",589,593.81,591.44,594.88,21.94,21.81,13.3,23.8
2407999,1565267720," ""2019/8/8 12:35:20""",588.81,593.63,591.19,594.63,21.87,21.81,13.25,23.8
2408998,1565267721," ""2019/8/8 12:35:21""",588.63,593.44,591,594.44,21.87,21.81,13.16,23.8
2688999,1565268001," ""2019/8/8 12:40:1""",610.06,613.81,614.69,616.75,21.94,21.81,13.33,23.8
2689999,1565268002," ""2019/8/8 12:40:2""",604.13,607.75,608.25,610.44,21.87,21.75,13.28,23.8
2691000,1565268003," ""2019/8/8 12:40:3""",600.69,604.44,604.5,606.88,21.87,21.75,13.23,23.8
2691999,1565268004," ""2019/8/8 12:40:4""",598.38,602.25,601.94,604.56,21.87,21.75,13.37,23.8
2692999,1565268005," ""2019/8/8 12:40:5""",596.63,600.69,600.06,602.88,21.87,21.81,13.33,23.8
2693999,1565268006," ""2019/8/8 12:40:6""",595.25,599.5,598.56,601.5,21.87,21.81,13.2,23.8
2695000,1565268007," ""2019/8/8 12:40:7""",594.19,598.5,597.38,600.44,21.87,21.81,13.16,23.8
2695999,1565268008," ""2019/8/8 12:40:8""",593.38,597.75,596.38,599.56,21.87,21.81,13.39,23.8
2696999,1565268009," ""2019/8/8 12:40:9""",592.63,597.13,595.5,598.81,21.87,21.81,13.2,23.8
2697999,1565268010," ""2019/8/8 12:40:10""",592,596.63,594.88,598.19,21.87,21.81,13.23,23.8
2698999,1565268011," ""2019/8/8 12:40:11""",591.5,596.13,594.25,597.63,21.87,21.81,13.19,23.8
2700000,1565268012," ""2019/8/8 12:40:12""",591.06,595.75,593.75,597.13,21.87,21.81,13.36,23.8
2700999,1565268013," ""2019/8/8 12:40:13""",590.63,595.38,593.25,596.69,21.94,21.81,13.33,23.8
2702000,1565268014," ""2019/8/8 12:40:14""",590.25,595,592.88,596.31,21.94,21.81,13.16,23.8
2702998,1565268015," ""2019/8/8 12:40:15""",590,594.75,592.56,596,21.94,21.81,13.36,23.8
2704000,1565268016," ""2019/8/8 12:40:16""",589.75,594.5,592.19,595.69,21.87,21.81,13.17,23.8
2705000,1565268017," ""2019/8/8 12:40:17""",589.5,594.25,591.94,595.38,21.94,21.81,13.2,23.8
2705999,1565268018," ""2019/8/8 12:40:18""",589.25,594,591.69,595.13,21.94,21.81,13.17,23.8
2707000,1565268019," ""2019/8/8 12:40:19""",589,593.81,591.44,594.94,21.94,21.81,13.3,23.8
2707999,1565268020," ""2019/8/8 12:40:20""",588.81,593.63,591.19,594.69,21.94,21.81,13.36,23.8
2709000,1565268021," ""2019/8/8 12:40:21""",588.63,593.44,591.06,594.44,21.94,21.81,13.17,23.8
2988998,1565268301," ""2019/8/8 12:45:1""",610.13,613.81,614.75,616.81,21.94,21.81,13.39,23.8
2990000,1565268302," ""2019/8/8 12:45:2""",604.13,607.75,608.31,610.44,21.87,21.75,13.4,23.8
2990999,1565268303," ""2019/8/8 12:45:3""",600.75,604.44,604.56,606.94,21.87,21.75,13.25,23.8
2991998,1565268304," ""2019/8/8 12:45:4""",598.38,602.25,601.94,604.56,21.87,21.81,13.22,23.8
2993000,1565268305," ""2019/8/8 12:45:5""",596.63,600.75,600.06,602.88,21.87,21.81,13.17,23.8
2993999,1565268306," ""2019/8/8 12:45:6""",595.31,599.5,598.56,601.56,21.87,21.81,13.33,23.8
2995000,1565268307," ""2019/8/8 12:45:7""",594.25,598.56,597.38,600.44,21.87,21.81,13.22,23.8
2995999,1565268308," ""2019/8/8 12:45:8""",593.38,597.81,596.38,599.56,21.87,21.81,13.28,23.8
2996999,1565268309," ""2019/8/8 12:45:9""",592.63,597.19,595.63,598.81,21.87,21.81,13.22,23.8
2997999,1565268310," ""2019/8/8 12:45:10""",592.06,596.63,594.88,598.19,21.87,21.81,13.31,23.8
2999000,1565268311," ""2019/8/8 12:45:11""",591.5,596.19,594.25,597.63,21.87,21.81,13.16,23.8
2999999,1565268312," ""2019/8/8 12:45:12""",591.06,595.75,593.75,597.13,21.87,21.81,13.22,23.8
3000999,1565268313," ""2019/8/8 12:45:13""",590.69,595.44,593.31,596.75,21.94,21.81,13.34,23.8
3002000,1565268314," ""2019/8/8 12:45:14""",590.31,595.06,592.88,596.31,21.94,21.81,13.19,23.8
3002999,1565268315," ""2019/8/8 12:45:15""",590,594.81,592.56,596,21.94,21.81,13.28,23.8
3004000,1565268316," ""2019/8/8 12:45:16""",589.75,594.5,592.25,595.75,21.94,21.81,13.17,23.8
3004999,1565268317," ""2019/8/8 12:45:17""",589.5,594.25,592,595.44,21.94,21.81,13.19,23.8
3006000,1565268318," ""2019/8/8 12:45:18""",589.25,594.06,591.69,595.19,21.94,21.81,13.27,23.8
3006999,1565268319," ""2019/8/8 12:45:19""",589.06,593.88,591.44,594.94,21.94,21.87,13.13,23.8
3008000,1565268320," ""2019/8/8 12:45:20""",588.88,593.69,591.25,594.75,21.94,21.87,13.36,23.8
3009000,1565268321," ""2019/8/8 12:45:21""",588.69,593.5,591.06,594.5,21.94,21.81,13.23,23.8
3288999,1565268601," ""2019/8/8 12:50:1""",610.06,613.81,614.69,616.75,21.94,21.81,13.34,23.8
3290000,1565268602," ""2019/8/8 12:50:2""",604.19,607.81,608.31,610.44,21.87,21.75,13.36,23.8
3290999,1565268603," ""2019/8/8 12:50:3""",600.75,604.5,604.56,606.94,21.87,21.75,13.2,23.8
3292000,1565268604," ""2019/8/8 12:50:4""",598.44,602.31,602,604.63,21.87,21.81,13.27,23.8
3292999,1565268605," ""2019/8/8 12:50:5""",596.69,600.75,600.13,602.88,21.87,21.81,13.23,23.8
3294000,1565268606," ""2019/8/8 12:50:6""",595.38,599.56,598.63,601.56,21.87,21.81,13.31,23.8
3294999,1565268607," ""2019/8/8 12:50:7""",594.31,598.63,597.38,600.5,21.87,21.81,13.33,23.8
3295998,1565268608," ""2019/8/8 12:50:8""",593.38,597.88,596.44,599.56,21.87,21.81,13.22,23.8
3297000,1565268609," ""2019/8/8 12:50:9""",592.69,597.25,595.56,598.81,21.87,21.81,13.34,23.8
3297999,1565268610," ""2019/8/8 12:50:10""",592.06,596.63,594.88,598.19,21.87,21.81,13.31,23.8
3299000,1565268611," ""2019/8/8 12:50:11""",591.56,596.19,594.31,597.69,21.94,21.81,13.23,23.8
3299999,1565268612," ""2019/8/8 12:50:12""",591.06,595.75,593.75,597.19,21.87,21.81,13.17,23.8
3301000,1565268613," ""2019/8/8 12:50:13""",590.69,595.44,593.31,596.75,21.94,21.81,13.2,23.8
3301999,1565268614," ""2019/8/8 12:50:14""",590.38,595.13,592.94,596.31,21.94,21.81,13.31,23.8
3303000,1565268615," ""2019/8/8 12:50:15""",590.06,594.81,592.63,596,21.94,21.81,13.36,23.8
3303999,1565268616," ""2019/8/8 12:50:16""",589.81,594.56,592.25,595.75,21.94,21.81,13.2,23.8
3304999,1565268617," ""2019/8/8 12:50:17""",589.5,594.31,592,595.44,21.94,21.81,13.33,23.8
3306000,1565268618," ""2019/8/8 12:50:18""",589.31,594.13,591.75,595.19,21.94,21.81,13.17,23.8
3306999,1565268619," ""2019/8/8 12:50:19""",589.06,593.88,591.5,594.94,21.94,21.81,13.16,23.8
3308000,1565268620," ""2019/8/8 12:50:20""",588.88,593.75,591.31,594.75,21.94,21.81,13.33,23.8
3308999,1565268621," ""2019/8/8 12:50:21""",588.69,593.5,591.06,594.5,21.94,21.87,13.2,23.8
3588999,1565268901," ""2019/8/8 12:55:1""",610.13,613.88,614.75,616.81,21.94,21.87,13.4,23.8
3589999,1565268902," ""2019/8/8 12:55:2""",604.19,607.81,608.31,610.5,21.87,21.75,13.3,23.8
3591000,1565268903," ""2019/8/8 12:55:3""",600.81,604.5,604.63,606.94,21.87,21.75,13.17,23.8
3591999,1565268904," ""2019/8/8 12:55:4""",598.44,602.31,602.06,604.63,21.87,21.81,13.2,23.8
3592999,1565268905," ""2019/8/8 12:55:5""",596.69,600.75,600.13,602.94,21.87,21.81,13.31,23.8
3594000,1565268906," ""2019/8/8 12:55:6""",595.38,599.56,598.69,601.56,21.87,21.81,13.39,23.8
3594999,1565268907," ""2019/8/8 12:55:7""",594.31,598.63,597.44,600.5,21.87,21.81,13.31,23.8
3596000,1565268908," ""2019/8/8 12:55:8""",593.44,597.88,596.44,599.63,21.87,21.81,13.28,23.8
3596999,1565268909," ""2019/8/8 12:55:9""",592.69,597.25,595.63,598.88,21.87,21.81,13.28,23.8
3598000,1565268910," ""2019/8/8 12:55:10""",592.13,596.69,594.94,598.25,21.87,21.81,13.22,23.8
3598999,1565268911," ""2019/8/8 12:55:11""",591.56,596.25,594.31,597.69,21.87,21.81,13.17,23.8
3600000,1565268912," ""2019/8/8 12:55:12""",591.13,595.81,593.81,597.19,21.87,21.81,13.14,23.8
3600999,1565268913," ""2019/8/8 12:55:13""",590.75,595.44,593.38,596.81,21.94,21.81,13.36,23.8
3601999,1565268914," ""2019/8/8 12:55:14""",590.44,595.13,593,596.44,21.94,21.81,13.17,23.8
3603000,1565268915," ""2019/8/8 12:55:15""",590.06,594.88,592.63,596.06,21.94,21.81,13.3,23.8
3603999,1565268916," ""2019/8/8 12:55:16""",589.81,594.56,592.31,595.75,21.94,21.81,13.23,23.8
